domain,name,textcolor,bgcolor
odakyu.app,小田急,ffffff,0d47a1
mstdn.jp,JP,d50000,ffffff
itabashi.0j0.jp,板橋,000000,76ff03
mstdn.maud.io,末代,000000,00e5ff
mstdn.y-zu.org,Yづ,000000,009688
misskey.io,io,000000,e91e63
oransns.com,おらん,ffffff,01579b
v2.nyoki.club,にょき,ffffff,e65100
abyss.fun,アビス,ffffff,311b92
mstdn.kemono-friends.info,ちほー,ffffff,bf360c
mstdn.nere9.help,nere9,000000,8bc34a
pawoo.net,Paw,ffffff,424242
mewl.me,SU,000000,ffffff
mstdn.mimikun.jp,SU,000000,ffffff
mstdn.f72u.net,frfr,ffffff,fbc02d
social.arnip.org,全角,000000,c51162
social.mikutter.hachune.net,smhn,000000,f50057
social.bluecore.net,自宅IT,ffffff,3949ab
mstdn.asterism.xyz,SU,000000,ffffff
mastodon.cloud,雲,000000,9e9e9e
dtp-mstdn.jp,dtp,000000,ff8a80
mstdn.mini4wd-engineer.com,四駆,000000,7c4dff
claristdon.net,クラ,000000,c6ff00
mstdn.hokkaido.jp,北海道,000000,00e676
mastodon.motcha.tech,避暑,000000,ba68c8
mastodon.crazynewworld.net,crazy,000000,64ffda
yakumo.foundation,まおー,ffffff,8e24aa
mstdn.love,love,ffffff,880e4f
pokemon.mastportal.info,ポケマス,000000,ff8a80
vocalodon.net,ボカロ,000000,80d8ff
muknown.jp,無能,ffffff,33691e
pl.telteltel.com,SU,000000,ffffff
nitiasa.com,ニチアサ,000000,ffc400
mstdn.ikebuku.ro,池袋,ffffff,f57c00
taruntarun.net,たるん,000000,ff6e40
pl.istukiy.com,SU,000000,ffffff
gorone.xyz,ゴロツキ,000000,ab47bc
toot.yukimochi.jp,SU,000000,ffffff
best-friends.chat,べスフレ,000000,ffeb3b
mastodon.zunda.ninja,SU,000000,ffffff
ef67.myhome.cx,ef67,000000,e57373
ding-dong.asmodeus.tokyo,SU,000000,ffffff
iwatedon.net,岩手,000000,eeff41
m.eula.dev,SU,000000,ffffff
mstdn.fujii-yuji.net,SU,000000,ffffff
unnerv.jp,NERV,000000,f44336
mastodon.umikaki.net,SU,000000,ffffff
plustodon.net,plus,ffffff,e53935
cutls.com,SU,000000,ffffff
m.aqr.af,SU,000000,ffffff
